20.174.15.226:443#AE [151.36ms]
139.185.38.137:2053#AE [257.03ms]
84.235.245.65:2096#AE [260.96ms]
80.227.252.11:8443#AE [263.78ms]
90.156.220.194:2053#AE [366.36ms]
31.130.149.210:443#AE [1297.81ms]
193.123.74.174:8443#AE [1336.8ms]
85.155.228.195:443#AL [288.01ms]
45.83.143.121:443#AM [269.38ms]
91.132.132.233:443#AM [273.79ms]
194.156.103.36:2053#AM [286.09ms]
91.132.132.243:8443#AM [301.49ms]
213.159.76.175:443#AM [1302.48ms]
92.112.48.142:8443#AT [222.97ms]
37.252.189.207:443#AT [229.37ms]
38.180.143.51:2053#AT [236.68ms]
152.53.44.234:2053#AT [237.2ms]
38.180.143.51:8443#AT [238.96ms]
185.119.117.146:8443#AT [246.9ms]
132.243.203.222:8443#AT [279.44ms]
46.102.156.144:2053#AT [279.51ms]
46.102.157.145:8443#AT [280.36ms]
132.243.203.9:8443#AT [282.65ms]
194.14.208.56:443#AU [273.3ms]
206.245.167.71:443#AU [340.92ms]
161.33.76.218:2053#AU [342.52ms]
161.33.76.218:8443#AU [348.41ms]
207.211.153.234:443#AU [349.07ms]
209.38.22.182:443#AU [1304.89ms]
202.27.229.7:443#AU [1365.38ms]
207.211.157.214:443#AU [1367.03ms]
45.8.147.11:443#BA [1247.93ms]
194.87.240.67:443#BE [230.81ms]
128.127.180.240:8443#BE [238.77ms]
38.180.18.43:8443#BE [239.58ms]
45.83.20.29:443#BE [255.35ms]
194.71.227.213:443#BE [267.82ms]
141.98.233.190:8443#BE [269.8ms]
35.241.172.224:443#BE [288.02ms]
95.139.91.132:443#BE [289.3ms]
35.210.99.51:443#BE [331.77ms]
104.155.124.198:443#BE [917.83ms]
193.37.212.56:2053#BG [252.47ms]
91.92.136.216:2053#BG [257.33ms]
45.136.198.114:8443#BG [264.5ms]
91.92.136.69:443#BG [264.92ms]
89.125.107.99:443#BG [278.83ms]
94.156.35.128:2053#BG [279.64ms]
95.164.21.123:443#BG [284.67ms]
185.206.146.190:8443#BG [294.51ms]
91.215.152.49:443#BG [303.59ms]
91.215.154.88:443#BG [304.23ms]
38.180.79.9:443#BR [357.65ms]
38.180.78.255:443#BR [362.64ms]
146.235.59.153:8443#BR [368.19ms]
216.238.110.198:8443#BR [373.86ms]
94.131.19.10:8443#BR [374.4ms]
94.131.19.19:2053#BR [375.33ms]
216.238.116.196:8443#BR [1363.91ms]
146.235.59.153:2053#BR [1381.22ms]
152.67.41.217:443#BR [1402.99ms]
80.71.159.199:8443#BY [254.75ms]
93.85.88.60:2053#BY [304.1ms]
93.85.88.60:8443#BY [314.75ms]
23.173.104.232:2053#CA [217.24ms]
23.173.104.235:2053#CA [217.44ms]
23.173.104.227:2053#CA [218.66ms]
44.32.224.206:2053#CA [219.02ms]
23.173.104.224:2053#CA [219.09ms]
24.109.36.190:8443#CA [219.91ms]
23.173.104.195:2053#CA [220.13ms]
65.49.232.101:443#CA [221.25ms]
23.173.104.201:2053#CA [221.59ms]
23.173.104.230:2053#CA [222.46ms]
84.234.16.226:8443#CH [222.85ms]
51.34.85.34:443#CH [224.87ms]
91.245.225.79:2053#CH [232.78ms]
80.68.159.75:443#CH [233.08ms]
83.228.242.220:443#CH [235.41ms]
194.87.18.208:443#CH [235.93ms]
91.90.193.19:443#CH [236.03ms]
83.228.193.108:443#CH [236.85ms]
84.234.17.85:443#CH [238.28ms]
91.245.225.79:8443#CH [238.98ms]
64.176.4.154:8443#CL [373.45ms]
64.176.9.170:8443#CL [377.82ms]
64.176.15.110:2053#CL [385.37ms]
64.176.10.195:443#CL [386.31ms]
64.176.11.9:8443#CL [391.37ms]
193.24.232.154:2053#CY [294.28ms]
89.221.219.195:443#CZ [235.72ms]
89.125.106.77:2053#CZ [239.66ms]
38.180.48.182:8443#CZ [241.98ms]
89.221.219.195:8443#CZ [246.12ms]
87.236.146.97:443#CZ [279.92ms]
85.137.167.21:443#CZ [285.46ms]
92.61.71.248:2083#CZ [286.41ms]
62.233.57.60:443#CZ [286.56ms]
91.184.249.100:443#CZ [286.76ms]
85.137.166.223:443#CZ [286.96ms]
31.25.88.206:443#DE [179.86ms]
45.147.48.147:443#DE [184.64ms]
5.178.106.61:2053#DE [196.68ms]
194.87.105.23:8443#DE [199.78ms]
91.149.222.113:443#DE [200.01ms]
57.129.63.42:8443#DE [200.61ms]
51.195.47.23:2087#DE [200.69ms]
158.180.49.11:2053#DE [202.55ms]
57.129.63.145:2053#DE [203.87ms]
194.87.105.71:443#DE [203.99ms]
80.78.22.178:443#DK [225.23ms]
45.148.31.73:443#DK [228.27ms]
77.37.96.132:443#DK [232.53ms]
80.78.30.157:443#DK [234.02ms]
