20.174.15.226:443#AE [161.3ms]
176.97.78.80:8443#AE [225.21ms]
176.97.66.175:443#AE [226.7ms]
84.235.250.237:443#AE [272.85ms]
147.78.0.186:2053#AE [297.62ms]
90.156.220.194:2053#AE [331.31ms]
193.123.74.174:8443#AE [339.53ms]
109.61.42.37:443#AE [345.06ms]
84.235.245.65:2096#AE [356.18ms]
188.208.110.35:2096#AE [357.18ms]
103.167.235.130:443#AL [205.26ms]
103.167.235.79:443#AL [255.52ms]
193.108.112.65:443#AL [295.88ms]
130.49.189.89:443#AL [309.73ms]
185.75.243.102:443#AL [324.67ms]
2.56.206.114:2053#AM [233.78ms]
2.56.206.114:8443#AM [241.88ms]
91.195.254.34:443#AM [298.19ms]
38.54.45.184:443#AR [335.95ms]
185.175.58.196:443#AT [164.25ms]
46.102.157.145:8443#AT [168.08ms]
104.143.0.184:443#AT [170.32ms]
132.243.203.236:8443#AT [170.99ms]
132.243.203.213:8443#AT [173.8ms]
132.243.245.166:443#AT [174.36ms]
132.243.245.74:443#AT [174.75ms]
132.243.245.92:443#AT [174.88ms]
132.243.203.202:8443#AT [175.17ms]
132.243.203.214:8443#AT [179.26ms]
185.222.217.28:443#AU [163.19ms]
209.38.22.182:443#AU [270.9ms]
209.38.82.114:443#AU [273.06ms]
209.38.23.235:443#AU [273.61ms]
170.64.163.39:443#AU [274.16ms]
170.64.230.86:443#AU [275.44ms]
170.64.232.210:443#AU [277.21ms]
170.64.237.192:443#AU [277.25ms]
170.64.229.30:443#AU [278.7ms]
170.64.175.13:443#AU [279.62ms]
180.149.45.58:443#AZ [338.24ms]
38.180.18.43:8443#BE [174.02ms]
194.71.227.213:443#BE [178.56ms]
104.155.124.198:443#BE [209.86ms]
35.241.172.224:443#BE [236.91ms]
35.210.99.51:443#BE [324.46ms]
188.190.26.243:443#BE [1236.64ms]
185.141.61.113:443#BG [201.92ms]
185.148.146.9:443#BG [203.43ms]
193.37.212.56:2053#BG [210.56ms]
185.177.59.153:2053#BG [218.86ms]
91.92.136.69:443#BG [219.25ms]
185.203.116.174:443#BG [224.37ms]
185.205.210.144:443#BG [231.66ms]
185.203.119.101:443#BG [234.32ms]
185.203.119.26:2053#BG [237.42ms]
185.203.119.221:2053#BG [237.62ms]
191.44.32.253:443#BR [183.01ms]
94.131.19.19:2053#BR [339.51ms]
132.226.163.224:8443#BR [357.54ms]
132.226.163.224:2053#BR [357.79ms]
38.180.78.255:443#BR [372.01ms]
146.235.59.153:2053#BR [388.88ms]
152.67.41.217:443#BR [401.39ms]
38.180.79.9:443#BR [403.59ms]
147.45.116.9:443#BR [416.65ms]
146.235.59.153:8443#BR [1368.14ms]
185.179.82.246:443#BY [150.73ms]
80.71.159.199:8443#BY [166.64ms]
185.179.82.201:443#BY [175.87ms]
212.60.4.134:443#BY [179.84ms]
153.80.244.215:443#BY [221.27ms]
185.66.71.149:2053#BY [224.55ms]
93.85.88.60:2053#BY [234.94ms]
198.199.106.194:443#CA [220.04ms]
40.233.77.216:443#CA [233.45ms]
213.255.209.61:2053#CA [237.47ms]
192.99.169.176:443#CA [242.59ms]
213.255.209.61:8443#CA [243.78ms]
207.90.192.164:8443#CA [245.22ms]
68.183.207.130:443#CA [245.54ms]
40.233.110.251:443#CA [246.04ms]
68.183.205.238:443#CA [248.91ms]
138.197.161.103:443#CA [250.36ms]
45.85.93.49:443#CH [175.19ms]
185.237.225.95:443#CH [176.61ms]
45.90.59.18:443#CH [176.81ms]
91.245.225.79:2053#CH [177.23ms]
79.132.141.152:443#CH [180.39ms]
91.192.102.170:8443#CH [182.57ms]
141.227.149.145:443#CH [183.77ms]
45.90.56.41:443#CH [184.29ms]
185.195.69.64:443#CH [185.95ms]
141.227.149.108:443#CH [191.18ms]
64.176.12.48:443#CL [377.61ms]
64.176.15.110:2053#CL [378.79ms]
64.176.4.154:8443#CL [425.63ms]
64.176.9.170:8443#CL [426.03ms]
64.176.10.195:443#CL [431.25ms]
134.255.210.74:443#CY [251.8ms]
194.55.164.118:443#CY [257.6ms]
185.205.187.139:443#CY [293.41ms]
81.2.236.23:443#CZ [172.29ms]
185.253.46.27:443#CZ [184.41ms]
38.180.48.182:8443#CZ [187.8ms]
37.205.15.169:443#CZ [198.79ms]
195.123.244.230:443#CZ [200.96ms]
195.123.244.83:443#CZ [208.25ms]
85.137.167.21:443#CZ [246.7ms]
91.184.248.209:2053#CZ [260.87ms]
92.61.71.49:443#CZ [266.78ms]
46.28.70.117:443#CZ [267.8ms]
91.132.160.151:443#DE [153.84ms]
194.59.9.21:443#DE [155.98ms]
185.254.99.141:2087#DE [156.22ms]
104.194.156.155:8443#DE [156.93ms]
51.89.22.80:8443#DE [156.99ms]
188.95.70.31:8443#DE [157.59ms]
5.75.193.110:2053#DE [157.94ms]
91.99.16.45:443#DE [158.57ms]
89.106.78.217:443#DE [158.71ms]
2.27.28.57:443#DE [158.74ms]
93.92.112.216:443#DK [169.28ms]
193.180.211.40:443#DK [173.83ms]
193.180.211.92:8443#DK [176.36ms]
193.181.215.4:8443#DK [179.05ms]
92.113.149.70:443#DK [179.57ms]
193.180.209.21:443#DK [181.96ms]
193.180.213.29:8443#DK [183.42ms]
193.181.213.91:443#DK [183.76ms]
193.180.213.30:2087#DK [184.15ms]
193.181.214.98:2083#DK [185.23ms]
130.94.116.44:443#EC [325.41ms]
64.188.82.141:8443#EE [190.76ms]
213.111.179.170:443#EE [197.51ms]
217.9.12.65:443#EE [203.45ms]
77.239.126.75:443#EE [203.6ms]
185.155.97.85:443#EE [213.05ms]
81.176.229.57:443#EE [214.13ms]
82.47.22.19:443#EE [214.7ms]
5.101.118.36:443#EE [214.77ms]
176.97.74.45:443#EE [219.17ms]
5.175.178.175:443#EE [219.38ms]
38.54.59.70:443#EG [309.6ms]
92.178.109.187:443#ES [198.48ms]
141.227.188.153:443#ES [199.62ms]
172.233.97.34:443#ES [206.08ms]
208.85.17.114:443#ES [210.25ms]
93.93.119.91:443#ES [218.04ms]
82.223.196.199:443#ES [227.67ms]
172.233.116.56:2053#ES [236.94ms]
141.253.194.63:443#ES [247.38ms]
34.175.202.195:443#ES [248.8ms]
31.57.190.30:443#ES [254.12ms]
65.21.253.224:2087#FI [178.61ms]
204.168.173.148:2053#FI [179.37ms]
62.238.35.47:8443#FI [179.69ms]
65.109.141.230:443#FI [179.73ms]
37.27.27.1:443#FI [180.16ms]
37.27.20.35:8443#FI [180.35ms]
37.27.220.78:8443#FI [181.1ms]
37.27.20.35:2053#FI [183.24ms]
89.167.39.129:443#FI [183.94ms]
37.27.20.8:443#FI [184.36ms]
51.91.101.216:8443#FR [157.17ms]
51.77.140.100:8443#FR [161.53ms]
51.77.140.38:2053#FR [162.59ms]
51.83.98.78:8443#FR [162.88ms]
51.91.250.183:443#FR [163.29ms]
93.186.64.49:2053#FR [164.34ms]
51.91.249.37:443#FR [164.38ms]
89.117.49.238:2053#FR [164.59ms]
31.59.121.155:2053#FR [164.93ms]
37.59.96.25:8443#FR [165.03ms]
77.110.103.101:443#GB [155.27ms]
213.165.44.94:443#GB [155.97ms]
92.246.136.38:443#GB [157.89ms]
176.124.221.39:443#GB [158.92ms]
213.165.43.228:8443#GB [161.23ms]
77.73.131.12:443#GB [161.29ms]
176.124.221.87:443#GB [161.51ms]
95.163.176.69:443#GB [162.18ms]
94.228.170.55:443#GB [163.35ms]
57.129.137.202:8443#GB [164.29ms]
181.215.15.26:443#GE [1270.88ms]
38.54.29.210:2053#GR [223.66ms]
91.250.248.151:443#GR [272.92ms]
91.250.248.68:443#GR [279.59ms]
151.236.29.97:443#GR [320.0ms]
23.133.52.10:2053#HK [52.96ms]
47.76.218.163:443#HK [56.55ms]
122.10.119.252:443#HK [68.52ms]
156.239.13.72:8443#HK [84.36ms]
149.104.4.249:2053#HK [101.61ms]
47.83.14.42:8443#HK [104.81ms]
154.12.188.210:2083#HK [147.07ms]
154.12.188.210:2096#HK [164.6ms]
103.39.78.118:8443#HK [188.55ms]
103.39.78.14:8443#HK [189.3ms]
46.183.184.60:443#HR [195.71ms]
37.221.210.113:443#HU [174.64ms]
91.219.236.202:8443#HU [188.75ms]
38.180.109.174:443#HU [193.65ms]
91.219.237.49:443#HU [220.81ms]
38.180.225.181:443#HU [225.58ms]
38.180.225.166:443#HU [226.63ms]
38.180.108.148:443#HU [226.89ms]
91.219.236.202:2053#HU [231.02ms]
180.149.37.38:8443#HU [255.51ms]
147.139.189.225:443#ID [368.66ms]
103.178.153.198:443#ID [382.04ms]
54.194.24.172:443#IE [194.59ms]
54.229.164.147:8443#IE [200.59ms]
5.157.30.2:8443#IE [205.81ms]
63.32.194.15:2053#IE [226.57ms]
34.240.243.226:443#IE [250.86ms]
54.229.164.147:2053#IE [251.02ms]
52.19.138.237:2053#IE [251.97ms]
5.157.30.3:8443#IE [261.85ms]
52.19.138.237:8443#IE [286.73ms]
107.172.145.153:443#IE [327.39ms]
193.169.228.116:443#IL [215.49ms]
80.178.58.56:443#IL [223.63ms]
64.176.168.119:443#IL [243.07ms]
77.91.69.141:2053#IL [256.95ms]
64.177.68.51:443#IL [267.53ms]
192.71.27.237:443#IL [284.51ms]
77.91.69.141:8443#IL [291.01ms]
13.235.254.54:443#IN [130.15ms]
4.240.110.47:443#IN [130.64ms]
52.66.200.252:443#IN [140.75ms]
65.20.88.116:443#IN [152.23ms]
20.235.220.189:443#IN [154.19ms]
64.227.174.213:2053#IN [216.5ms]
143.110.247.61:2096#IN [217.04ms]
143.110.247.61:8443#IN [218.07ms]
64.227.146.37:443#IN [223.33ms]
143.110.247.61:443#IN [227.35ms]
185.146.234.91:443#IS [260.86ms]
195.246.230.132:443#IS [271.14ms]
185.247.226.138:443#IS [295.8ms]
195.246.230.125:443#IS [335.2ms]
195.162.68.79:443#IS [341.52ms]
57.131.35.117:443#IT [186.06ms]
172.232.212.218:443#IT [193.54ms]
83.229.6.134:443#IT [202.43ms]
151.241.215.148:443#IT [227.21ms]
80.211.24.43:443#IT [228.61ms]
45.92.70.176:8443#IT [238.02ms]
5.249.148.85:443#IT [240.75ms]
185.47.172.172:8443#IT [254.34ms]
72.146.234.10:443#IT [254.9ms]
172.235.229.214:443#IT [255.02ms]
35.75.183.41:443#JP [71.91ms]
8.219.195.31:443#JP [优选高速 72.42ms]
54.248.55.203:443#JP [73.52ms]
8.219.155.125:443#JP [优选高速 73.64ms]
54.250.143.140:443#JP [75.69ms]
3.112.34.29:443#JP [76.67ms]
8.222.185.236:443#JP [优选高速 78.51ms]
54.238.236.208:443#JP [优选高速 78.99ms]
13.193.106.143:443#JP [优选高速 85.92ms]
23.249.17.25:443#JP [87.28ms]
38.54.4.209:443#KH [233.35ms]
123.111.169.70:8443#KR [82.78ms]
123.111.169.70:2087#KR [优选高速 84.28ms]
123.111.169.70:2096#KR [91.24ms]
123.111.169.70:443#KR [优选高速 92.58ms]
123.111.169.70:2083#KR [优选高速 92.61ms]
123.111.169.70:2053#KR [优选高速 92.7ms]
43.155.221.27:8443#KR [206.66ms]
43.164.191.65:8443#KR [211.06ms]
85.155.176.11:8443#KR [228.32ms]
43.133.237.158:8443#KR [232.76ms]
213.155.29.242:443#KZ [196.14ms]
5.39.253.54:443#KZ [211.82ms]
195.210.47.233:8443#KZ [213.66ms]
185.5.74.129:443#KZ [217.05ms]
104.238.24.247:443#KZ [217.25ms]
194.110.54.219:443#KZ [228.75ms]
5.39.253.245:443#KZ [229.71ms]
94.247.128.245:443#KZ [229.72ms]
94.131.92.95:443#KZ [239.72ms]
104.238.24.75:443#KZ [240.79ms]
185.80.129.84:443#LT [194.14ms]
5.199.173.184:443#LT [205.56ms]
130.12.171.63:443#LT [205.65ms]
130.12.171.96:8443#LT [215.15ms]
185.80.128.115:8443#LT [226.12ms]
195.238.126.11:443#LT [263.87ms]
130.12.171.173:443#LT [275.18ms]
5.199.162.130:443#LT [276.69ms]
89.40.2.194:443#LT [281.74ms]
80.208.227.162:443#LT [295.15ms]
31.58.77.174:443#LV [182.93ms]
195.123.210.184:8443#LV [186.97ms]
195.123.209.103:8443#LV [186.97ms]
94.232.43.53:2083#LV [187.99ms]
31.57.29.8:443#LV [190.52ms]
31.58.77.150:443#LV [191.1ms]
195.20.208.4:443#LV [191.41ms]
195.123.209.7:8443#LV [200.45ms]
185.237.219.224:2087#LV [203.73ms]
31.59.102.96:8443#LV [213.07ms]
194.180.191.123:443#MD [218.25ms]
94.158.246.244:443#MD [228.14ms]
94.103.188.145:443#MD [231.46ms]
185.163.45.40:443#MD [233.98ms]
85.120.252.211:443#MD [235.77ms]
217.156.67.86:443#MD [276.65ms]
91.229.239.172:443#MD [286.8ms]
185.216.68.218:8443#MD [289.4ms]
104.128.130.7:443#MD [305.24ms]
